mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_selection,param_k
1.7577317714691163,0.08000962992166341,0.033542537689208986,0.006235598614613787,10,1000,scale,rbf,"{'C': 10, 'cache_size': 1000, 'gamma': 'scale', 'kernel': 'rbf'}",0.8520389750992422,0.8459040057740888,0.8512635379061372,0.8451263537906137,0.8375451263537906,0.8463755997847745,0.0052101062659209935,1,left,10
1.971812868118286,0.2932486989137727,0.0437929630279541,0.02198021068189057,10,1000,auto,rbf,"{'C': 10, 'cache_size': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",0.8520389750992422,0.8455431252255503,0.8516245487364621,0.8451263537906137,0.8371841155234657,0.846303423675067,0.005409921449844738,2,left,10
1.491315746307373,0.0259719550159432,0.03279557228088379,0.003300585016925197,1,1000,scale,rbf,"{'C': 1, 'cache_size': 1000, 'gamma': 'scale', 'kernel': 'rbf'}",0.8459040057740888,0.8408516780945507,0.8490974729241877,0.8415162454873646,0.8342960288808664,0.8423330862322116,0.005019252602424493,3,left,10
1.6771262168884278,0.23178389470851932,0.03461637496948242,0.00505336162322287,1,1000,auto,rbf,"{'C': 1, 'cache_size': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",0.8459040057740888,0.8412125586430892,0.8490974729241877,0.8411552346570397,0.8342960288808664,0.8423330601758543,0.005014889848634365,4,left,10
1.2276565074920653,0.03217441959436359,0.03179812431335449,0.00028829793049056824,0.1,1000,auto,rbf,"{'C': 0.1, 'cache_size': 1000, 'gamma': 'auto', 'kernel': 'rbf'}",0.8444604835799351,0.8376037531577047,0.8476534296028881,0.8411552346570397,0.8314079422382672,0.840456168647167,0.005627263489529042,5,left,10
1.2197457313537599,0.029022165616041852,0.03269519805908203,0.002191360351225248,0.1,1000,scale,rbf,"{'C': 0.1, 'cache_size': 1000, 'gamma': 'scale', 'kernel': 'rbf'}",0.8444604835799351,0.8376037531577047,0.8476534296028881,0.8411552346570397,0.8314079422382672,0.840456168647167,0.005627263489529042,5,left,10
1.6812892436981202,0.13540938401892408,0.023488378524780272,0.0039021373805890195,1,1000,scale,linear,"{'C': 1, 'cache_size': 1000, 'gamma': 'scale', 'kernel': 'linear'}",0.8473475279682425,0.8336340671237821,0.8483754512635379,0.8400722021660649,0.8321299638989169,0.840311842484109,0.006724818290588617,7,left,10
1.622094202041626,0.10524941651970265,0.021224594116210936,0.0015515802422344633,1,1000,auto,linear,"{'C': 1, 'cache_size': 1000, 'gamma': 'auto', 'kernel': 'linear'}",0.8473475279682425,0.8336340671237821,0.8483754512635379,0.8400722021660649,0.8321299638989169,0.840311842484109,0.006724818290588617,7,left,10
3.149595022201538,0.21933673122722613,0.020116281509399415,0.0002465263049377378,10,1000,auto,linear,"{'C': 10, 'cache_size': 1000, 'gamma': 'auto', 'kernel': 'linear'}",0.8473475279682425,0.8336340671237821,0.8483754512635379,0.8400722021660649,0.8317689530685921,0.840239640318044,0.0068136284287621555,9,left,10
3.162914991378784,0.2125238480256572,0.021199607849121095,0.0013039766524704176,10,1000,scale,linear,"{'C': 10, 'cache_size': 1000, 'gamma': 'scale', 'kernel': 'linear'}",0.8473475279682425,0.8336340671237821,0.8483754512635379,0.8400722021660649,0.8317689530685921,0.840239640318044,0.0068136284287621555,9,left,10
1.2630107402801514,0.08592291675709522,0.020449018478393553,0.0005590835176225857,0.1,1000,scale,linear,"{'C': 0.1, 'cache_size': 1000, 'gamma': 'scale', 'kernel': 'linear'}",0.847708408516781,0.8332731865752436,0.8487364620938628,0.8400722021660649,0.8306859205776174,0.840095235985914,0.007317202878214275,11,left,10
1.2164265632629394,0.03624073887459133,0.02024044990539551,0.000855158190801838,0.1,1000,auto,linear,"{'C': 0.1, 'cache_size': 1000, 'gamma': 'auto', 'kernel': 'linear'}",0.847708408516781,0.8332731865752436,0.8487364620938628,0.8400722021660649,0.8306859205776174,0.840095235985914,0.007317202878214275,11,left,10
1.1116164684295655,0.05457335643981947,0.045882654190063474,0.008898292494881008,0.1,1000,scale,sigmoid,"{'C': 0.1, 'cache_size': 1000, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.7758931793576326,0.7675929267412487,0.7714801444043321,0.763898916967509,0.7581227436823105,0.7673975822306065,0.006117907038278204,13,left,10
1.1265693664550782,0.03777374585539134,0.04588756561279297,0.006369993771021659,0.1,1000,auto,sigmoid,"{'C': 0.1, 'cache_size': 1000, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.7758931793576326,0.7661494045470949,0.7700361010830324,0.763898916967509,0.7574007220216606,0.7666756647953858,0.006168742960328141,14,left,10
1.062168788909912,0.029004991076579997,0.040104246139526366,0.006315026717398436,1,1000,scale,sigmoid,"{'C': 1, 'cache_size': 1000, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.7722843738722482,0.7639841212558643,0.7646209386281588,0.7613718411552347,0.7581227436823105,0.7640768037187634,0.0046997134817072525,15,left,10
1.0591791152954102,0.022236896880852175,0.039554500579833986,0.0037291225317454962,1,1000,auto,sigmoid,"{'C': 1, 'cache_size': 1000, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.7719234933237098,0.7639841212558643,0.7642599277978339,0.7610108303249098,0.7581227436823105,0.7638602232769257,0.0046093199184740734,16,left,10
