positive,neutral,negative
0.21120727062225342,0.3968998193740845,0.3918929100036621
0.2738146185874939,0.2622082531452179,0.4639771282672882
0.01002052053809166,0.041879281401634216,0.9481002688407898
0.23498578369617462,0.25332969427108765,0.5116844773292542
0.005655913148075342,0.039571791887283325,0.9547722339630127
0.24148674309253693,0.23086224496364594,0.5276510715484619
0.0037197782658040524,0.013035732321441174,0.9832444190979004
0.2289363145828247,0.48320528864860535,0.28785842657089233
0.18479207158088684,0.5623407363891602,0.2528671622276306
0.005557853262871504,0.016921402886509895,0.977520763874054
0.5376689434051514,0.3042248487472534,0.15810616314411163
0.9152177572250366,0.0738900825381279,0.010892163030803204
0.28591543436050415,0.6367892622947693,0.07729534804821014
0.015784073621034622,0.05449211224913597,0.9297237992286682
0.3412827253341675,0.4806613028049469,0.17805597186088562
0.04486866295337677,0.09657502919435501,0.8585562705993652
0.6872959733009338,0.26759830117225647,0.04510575532913208
0.005025600548833609,0.04254910349845886,0.9524253010749817
0.1358892023563385,0.20118586719036102,0.6629248857498169
0.00792030617594719,0.0237093698233366,0.9683703780174255
0.007852735929191113,0.047572147101163864,0.9445750713348389
0.5536752343177795,0.2286590188741684,0.21766574680805206
0.002660010941326618,0.017917979508638382,0.9794219732284546
0.03156257048249245,0.09176848828792572,0.8766688704490662
0.6138425469398499,0.3034795820713043,0.08267786353826523
0.002601327607408166,0.025735769420862198,0.9716629385948181
0.09284160286188126,0.442719966173172,0.4644384980201721
0.3086737096309662,0.4427032172679901,0.2486230880022049
0.6286108493804932,0.2845135033130646,0.08687567710876465
0.46450865268707275,0.3878757655620575,0.14761558175086975
0.9692724347114563,0.0276871919631958,0.00304035865701735
0.0344821996986866,0.13929036259651184,0.8262274265289307
0.7431092262268066,0.22953784465789795,0.02735293097794056
0.14532268047332764,0.439001202583313,0.41567614674568176
0.46765822172164917,0.3721711039543152,0.16017073392868042
0.10458120703697205,0.2778761386871338,0.6175426244735718
0.028763428330421448,0.10069985687732697,0.8705366849899292
0.3465685546398163,0.29926174879074097,0.35416966676712036
0.1025436520576477,0.12139646708965302,0.7760598659515381
0.7474527359008789,0.1954880654811859,0.05705928057432175
0.5270143747329712,0.3324068784713745,0.1405787169933319
0.8194975256919861,0.14840784668922424,0.0320945680141449
0.012525090016424656,0.1807684302330017,0.806706428527832
0.025395600125193596,0.03633534908294678,0.9382690787315369
0.13088852167129517,0.29060545563697815,0.5785059928894043
0.008570930920541286,0.029582588002085686,0.9618465304374695
0.008896582759916782,0.01684558019042015,0.97425776720047
0.031235430389642715,0.22822263836860657,0.740541934967041
0.9165555834770203,0.07397667318582535,0.00946778990328312
0.4877573549747467,0.3474598824977875,0.1647827923297882
0.021865062415599823,0.07355862855911255,0.904576301574707
0.015551476739346981,0.0722944512963295,0.9121541380882263
0.0017777321627363563,0.00682601984590292,0.9913962483406067
0.4904462397098541,0.4513547122478485,0.05819903686642647
0.03540613502264023,0.16996459662914276,0.7946292757987976
0.5286303758621216,0.32191964983940125,0.14945004880428314
0.14517143368721008,0.2936837375164032,0.5611448287963867
0.004587287548929453,0.07230144739151001,0.9231113195419312
0.5048677921295166,0.3672496974468231,0.12788252532482147
0.0014825413236394525,0.005894909612834454,0.9926224946975708
0.28262245655059814,0.41990137100219727,0.297476202249527
0.008027248084545135,0.029622063040733337,0.9623507261276245
0.3661756217479706,0.38538771867752075,0.24843671917915344
0.004495078232139349,0.01881699450314045,0.9766879677772522
0.00924240704625845,0.041099779307842255,0.9496578574180603
0.006574619561433792,0.03272797539830208,0.9606974124908447
0.33207637071609497,0.3611895442008972,0.30673402547836304
0.15603822469711304,0.28991425037384033,0.5540474653244019
0.7063651084899902,0.19748149812221527,0.09615331888198853
0.16797320544719696,0.467332661151886,0.36469411849975586
0.723420262336731,0.20879942178726196,0.06778030097484589
0.2831054925918579,0.4906599521636963,0.2262345552444458
0.3020564317703247,0.447600781917572,0.25034281611442566
0.013960596174001694,0.07181175798177719,0.9142276048660278
0.012059579603374004,0.06511998921632767,0.922820508480072
0.14239230751991272,0.4670894145965576,0.39051827788352966
